Ref,Val,Package,PosX,PosY,Rot,Side
"C2","33p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-129.432500,-94.790000,180.000000,bottom
"C3","10p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-129.432500,-96.420000,180.000000,bottom
"C5","4u7","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-127.597500,-103.600000,180.000000,bottom
"C7","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-116.490000,-108.010000,-90.000000,bottom
"C8","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-103.690000,-114.340000,-90.000000,bottom
"C9","220u","CP_EIA-7343-15_Kemet-W",-129.322500,-89.320000,90.000000,bottom
"D1","D_Zener","D_0805_2012Metric",-129.462500,-98.420000,180.000000,bottom
"GPS1","U.FL-R-SMT-1","U.FL-R-SMT-1",-102.780000,-101.605000,-90.000000,bottom
"GSM1","U.FL-R-SMT-1","U.FL-R-SMT-1",-124.815000,-75.643500,180.000000,bottom
"J4","693010020611","693010020611",-117.330000,-119.210000,90.000000,bottom
"R1","4K7","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",-124.087500,-104.450000,0.000000,bottom
"R2","10K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",-114.237500,-107.990000,-90.000000,bottom
"R3","10K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",-109.492500,-107.920000,-90.000000,bottom
"R4","10K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",-111.865000,-107.920000,-90.000000,bottom
"R10","10K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",-107.120000,-108.040000,-90.000000,bottom
"U1","SIM808","XCVR_SIM808",-114.064000,-93.414000,180.000000,bottom
"U3","SMF05CT1G","SOT65P210X110-6N",-105.895000,-116.310000,180.000000,bottom
"C1","100u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",112.070000,-88.855000,-90.000000,top
"C4","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",111.565436,-78.351667,90.000000,top
"C6","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.720000,-88.840000,0.000000,top
"C10","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.605000,-100.070000,0.000000,top
"C11","220u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",112.491429,-117.070000,90.000000,top
"C12","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",108.680000,-117.070000,90.000000,top
"C13","30p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",105.620000,-112.290000,0.000000,top
"C14","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.777143,-117.070000,90.000000,top
"C15","4u7","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.890000,-91.615000,90.000000,top
"C16","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.440000,-91.615000,90.000000,top
"C17","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.750000,-91.615000,90.000000,top
"C18","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.350000,-91.615000,90.000000,top
"C19","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",120.640000,-91.615000,90.000000,top
"D2","B340","D_SMC",126.200000,-79.000000,-90.000000,top
"D3","LED","LED_0201_0603Metric",125.765000,-83.560000,180.000000,top
"D4","LED","LED_0201_0603Metric",116.682857,-116.180000,90.000000,top
"D5","LED","LED_0201_0603Metric",119.734286,-116.140000,90.000000,top
"F1","Fuse 2.5A","Fuse_0402_1005Metric",111.811627,-75.778978,90.000000,top
"L1","L_Iron","L_10.4x10.4_H4.8",105.240000,-89.170000,0.000000,top
"Q1","AO3407A","SOT65P210X110-6N",115.088819,-76.082994,90.000000,top
"R5","8K2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",120.790000,-88.910000,-90.000000,top
"R6","1K5","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",118.766667,-88.860000,90.000000,top
"R7","2K7","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",116.990000,-88.880000,90.000000,top
"R8","1K5","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",123.685000,-83.680000,180.000000,top
"R9","100K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",107.220000,-116.350000,90.000000,top
"R11","1K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",110.585714,-116.350000,90.000000,top
"R12","1K5","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",118.208571,-116.350000,90.000000,top
"R13","1K5","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",121.260000,-116.172500,90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",126.410000,-122.320000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",107.170000,-122.320000,0.000000,top
"U2","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",116.840000,-83.920000,180.000000,top
"U4","STM32F030C8Tx","LQFP-48_7x7mm_P0.5mm",117.610000,-103.560000,45.000000,top
"Y1","Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm",106.560000,-106.210000,-90.000000,top
